metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1783904500,1.000000,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_duration,1783904500,673.189922,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_blocked,1783904500,1.180515,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_connecting,1783904500,0.310940,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_tls_handshaking,1783904500,0.000000,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_sending,1783904500,0.100176,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_waiting,1783904500,671.271189,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_receiving,1783904500,1.818557,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_failed,1783904500,0.000000,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
data_sent,1783904500,112.000000,,,,,::setup,,,,,,,,,,,
data_received,1783904500,29796.000000,,,,,::setup,,,,,,,,,,,
iteration_duration,1783904500,676.691693,,,,,::setup,,,,,,,,,,,
http_reqs,1783904500,1.000000,,,,true,,DELETE,http://springboot-api:8080/api/products/6a39d5076ad750177584ce8f,HTTP/1.1,default,,204,,,http://springboot-api:8080/api/products/6a39d5076ad750177584ce8f,,
