metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1783905069,0.000000,,,,,,,,,,,,,,,,
vus_max,1783905069,20.000000,,,,,,,,,,,,,,,,
http_reqs,1783905069,1.000000,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_duration,1783905069,1121.081968,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_blocked,1783905069,1.357567,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_connecting,1783905069,0.252042,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_tls_handshaking,1783905069,0.000000,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_sending,1783905069,0.031361,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_waiting,1783905069,1119.034417,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_receiving,1783905069,2.016190,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_failed,1783905069,0.000000,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
data_sent,1783905069,112.000000,,,,,::setup,,,,,,,,,,,
data_received,1783905069,30703.000000,,,,,::setup,,,,,,,,,,,
iteration_duration,1783905069,1124.041949,,,,,::setup,,,,,,,,,,,
http_reqs,1783905069,1.000000,,,,true,,GET,http://springboot-api:8080/api/products?page=92&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=92&size=20,,
http_req_duration,1783905069,146.185214,,,,true,,GET,http://springboot-api:8080/api/products?page=92&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=92&size=20,,
http_req_blocked,1783905069,0.380411,,,,true,,GET,http://springboot-api:8080/api/products?page=92&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=92&size=20,,
http_req_connecting,1783905069,0.270387,,,,true,,GET,http://springboot-api:8080/api/products?page=92&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=92&size=20,,
http_req_tls_handshaking,1783905069,0.000000,,,,true,,GET,http://springboot-api:8080/api/products?page=92&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=92&size=20,,
http_req_sending,1783905069,0.087771,,,,true,,GET,http://springboot-api:8080/api/products?page=92&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=92&size=20,,
